Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,0.08668303489685059,22.0,22.2,0.0,0.0,0.002074528057543873,0,0,0,0,0.0,0.0,True
L,0.08759546279907227,22.2,22.2,0.0,0.0,0.0020694189623050255,0,0,0,0,0.0,0.0,True
L,0.08859634399414062,21.9,22.2,0.0,0.0,0.0020637193901232756,0,0,0,0,0.0,0.0,True
L,0.08914875984191895,22.1,22.2,0.0,0.0,0.0020762835108643638,0,0,0,0,0.0,0.0,True
L,0.08951735496520996,21.8,22.2,0.0,0.0,0.0020705648848421453,0,0,0,0,0.0,0.0,True
L,0.08620405197143555,22.0,22.2,0.0,0.0,0.002077449699684619,0,0,0,0,0.0,0.0,True
L,0.08715510368347168,22.1,22.2,0.0,0.0,0.002066777039699979,0,0,0,0,0.0,0.0,True
L,0.08979272842407227,22.0,22.2,0.0,0.0,0.002066265441090628,0,0,0,0,0.0,0.0,True
L,0.0899209976196289,22.2,22.2,0.0,0.0,0.002071409983301026,0,0,0,0,0.0,0.0,True
L,0.08926129341125488,22.0,22.2,0.0,0.0,0.002070141076433996,0,0,0,0,0.0,0.0,True
L,0.0906517505645752,21.9,22.2,0.0,0.0,0.0020811140821298912,0,0,0,0,0.0,0.0,True
L,0.09108591079711914,21.7,22.2,0.0,0.0,0.0020735774799475136,0,0,0,0,0.0,0.0,True
L,0.09328150749206543,22.1,22.2,0.0,0.0,0.002084922419908713,0,0,0,0,0.0,0.0,True
L,0.08823657035827637,22.0,22.2,0.0,0.0,0.0020722955557981376,0,0,0,0,0.0,0.0,True
L,0.09058070182800293,21.9,22.2,0.0,0.0,0.0020666427115354664,0,0,0,0,0.0,0.0,True
L,0.09116578102111816,22.1,22.2,0.0,0.0,0.002068792435272181,0,0,0,0,0.0,0.0,True
L,0.08930420875549316,22.3,22.2,0.0,0.0,0.002067066564934431,0,0,0,0,0.0,0.0,True
L,0.08964228630065918,21.9,22.2,0.0,0.0,0.002075160898163946,0,0,0,0,0.0,0.0,True
L,0.08996868133544922,21.9,22.2,0.0,0.0,0.0020714405967089404,0,0,0,0,0.0,0.0,True
L,0.0919196605682373,22.1,22.2,0.0,0.0,0.0020874203208927503,0,0,0,0,0.0,0.0,True
L,0.09002351760864258,22.2,22.2,0.0,0.0,0.0020744985729804735,0,0,0,0,0.0,0.0,True
L,0.08997035026550293,22.1,22.2,0.0,0.0,0.0020666427115354664,0,0,0,0,0.0,0.0,True
L,0.0913240909576416,21.9,22.2,0.0,0.0,0.0020721377005334545,0,0,0,0,0.0,0.0,True
L,0.09172749519348145,21.9,22.2,0.0,0.0,0.0020688361176966243,0,0,0,0,0.0,0.0,True
L,0.0910346508026123,22.4,22.2,0.0,0.0,0.0020732036527194475,0,0,0,0,0.0,0.0,True
L,0.09099960327148438,22.1,22.2,0.0,0.0,0.0020670731535060664,0,0,0,0,0.0,0.0,True
L,0.09118413925170898,21.9,22.2,0.0,0.0,0.0020815378279195784,0,0,0,0,0.0,0.0,True
L,0.09031438827514648,22.0,22.2,0.0,0.0,0.0020727388352271164,0,0,0,0,0.0,0.0,True
L,0.08820033073425293,22.3,22.2,0.0,0.0,0.0020701786706336695,0,0,0,0,0.0,0.0,True
L,0.08931899070739746,21.8,22.2,0.0,0.0,0.0020685137408156715,0,0,0,0,0.0,0.0,True
L,0.09090948104858398,22.1,22.2,0.0,0.0,0.002064614408361221,0,0,0,0,0.0,0.0,True
L,0.09115767478942871,21.7,22.2,0.0,0.0,0.0020729162864996514,0,0,0,0,0.0,0.0,True
L,0.09165787696838379,22.2,22.2,0.0,0.0,0.002069718478448928,0,0,0,0,0.0,0.0,True
L,0.09120631217956543,22.0,22.2,0.0,0.0,0.00206925511423165,0,0,0,0,0.0,0.0,True
L,0.09106206893920898,22.0,22.2,0.0,0.0,0.0020759899496680073,0,0,0,0,0.0,0.0,True
L,0.08942484855651855,22.0,22.2,0.0,0.0,0.002086621365238636,0,0,0,0,0.0,0.0,True
L,0.08981108665466309,22.4,22.2,0.0,0.0,0.0020749136387848274,0,0,0,0,0.0,0.0,True
L,0.09111952781677246,21.9,22.2,0.0,0.0,0.0020679083420815864,0,0,0,0,0.0,0.0,True
L,0.08959770202636719,22.1,22.2,0.0,0.0,0.0020675026162805745,0,0,0,0,0.0,0.0,True
L,0.08997011184692383,21.7,22.2,0.0,0.0,0.0020641432623847754,0,0,0,0,0.0,0.0,True
L,0.09095954895019531,22.0,22.2,0.0,0.0,0.002082274492038016,0,0,0,0,0.0,0.0,True
L,0.09125614166259766,21.9,22.2,0.0,0.0,0.0020740391687409485,0,0,0,0,0.0,0.0,True
L,0.09153890609741211,21.8,22.2,0.0,0.0,0.002083165613402962,0,0,0,0,0.0,0.0,True
L,0.08855915069580078,22.3,22.2,0.0,0.0,0.0020637092996799752,0,0,0,0,0.0,0.0,True
L,0.09114217758178711,22.2,22.2,0.0,0.0,0.0020666427115354664,0,0,0,0,0.0,0.0,True
L,0.09143829345703125,22.0,22.2,0.0,0.0,0.00207141895367815,0,0,0,0,0.0,0.0,True
L,0.09103989601135254,21.9,22.2,0.0,0.0,0.0020692599610802184,0,0,0,0,0.0,0.0,True
L,0.08962249755859375,21.9,22.2,0.0,0.0,0.0020745407088882295,0,0,0,0,0.0,0.0,True
L,0.0896449089050293,22.5,22.2,0.0,0.0,0.0020688234121720526,0,0,0,0,0.0,0.0,True
L,0.08997368812561035,21.9,22.2,0.0,0.0,0.0020845693771608387,0,0,0,0,0.0,0.0,True
L,0.08880949020385742,21.7,22.2,0.0,0.0,0.0020698437485114412,0,0,0,0,0.0,0.0,True
L,0.08902144432067871,22.0,22.2,0.0,0.0,0.0020637193901232756,0,0,0,0,0.0,0.0,True
L,0.09081363677978516,22.0,22.2,0.0,0.0,0.00206933716746332,0,0,0,0,0.0,0.0,True
L,0.09138679504394531,22.0,22.2,0.0,0.0,0.002068944886617294,0,0,0,0,0.0,0.0,True
L,0.09341597557067871,22.0,22.2,0.0,0.0,0.0020692637958704537,0,0,0,0,0.0,0.0,True
L,0.0893259048461914,22.2,22.2,0.0,0.0,0.0020714393296022886,0,0,0,0,0.0,0.0,True
L,0.0903770923614502,22.0,22.2,0.0,0.0,0.0020811140821298912,0,0,0,0,0.0,0.0,True
L,0.09324908256530762,22.6,22.2,0.0,0.0,0.0020659001190121216,0,0,0,0,0.0,0.0,True
L,0.09041619300842285,22.3,22.2,0.0,0.0,0.0020934204524674545,0,0,0,0,0.0,0.0,True
L,0.08960223197937012,21.6,22.2,0.0,0.0,0.002069871919088316,0,0,0,0,0.0,0.0,True
L,0.09091711044311523,22.1,22.2,0.0,0.0,0.0020616005727979317,0,0,0,0,0.0,0.0,True
L,0.09111285209655762,22.2,22.2,0.0,0.0,0.0020680625679346857,0,0,0,0,0.0,0.0,True
L,0.09088754653930664,21.9,22.2,0.0,0.0,0.0020688361176966243,0,0,0,0,0.0,0.0,True
L,0.09109020233154297,22.0,22.2,0.0,0.0,0.0020788328015915814,0,0,0,0,0.0,0.0,True
L,0.0908808708190918,21.9,22.2,0.0,0.0,0.002067789887527202,0,0,0,0,0.0,0.0,True
L,0.09165382385253906,22.2,22.2,0.0,0.0,0.002085806442748105,0,0,0,0,0.0,0.0,True
L,0.08905172348022461,21.7,22.2,0.0,0.0,0.002070547822182329,0,0,0,0,0.0,0.0,True
L,0.09002304077148438,22.0,22.2,0.0,0.0,0.0020720804536573734,0,0,0,0,0.0,0.0,True
L,0.09104776382446289,22.1,22.2,0.0,0.0,0.0020693996533861954,0,0,0,0,0.0,0.0,True
L,0.09015488624572754,21.9,22.2,0.0,0.0,0.002068384194062414,0,0,0,0,0.0,0.0,True
L,0.09114646911621094,21.9,22.2,0.0,0.0,0.002076409602401008,0,0,0,0,0.0,0.0,True
L,0.09145545959472656,22.1,22.2,0.0,0.0,0.0020714742089049326,0,0,0,0,0.0,0.0,True
L,0.09093880653381348,21.6,22.2,0.0,0.0,0.002083731043165011,0,0,0,0,0.0,0.0,True
L,0.08858895301818848,21.7,22.2,0.0,0.0,0.002070545444078453,0,0,0,0,0.0,0.0,True
L,0.09075665473937988,21.9,22.2,0.0,0.0,0.0020781536655577935,0,0,0,0,0.0,0.0,True
L,0.09099721908569336,21.8,22.2,0.0,0.0,0.002069380916245465,0,0,0,0,0.0,0.0,True
L,0.09077191352844238,22.2,22.2,0.0,0.0,0.002061864602741771,0,0,0,0,0.0,0.0,True
L,0.09103250503540039,22.1,22.2,0.0,0.0,0.0020663405536898018,0,0,0,0,0.0,0.0,True
L,0.090728759765625,22.0,22.2,0.0,0.0,0.002070141076433996,0,0,0,0,0.0,0.0,True
L,0.09011244773864746,22.1,22.2,0.0,0.0,0.002073410709138057,0,0,0,0,0.0,0.0,True
L,0.08856773376464844,22.0,22.2,0.0,0.0,0.0020672450195054165,0,0,0,0,0.0,0.0,True
L,0.0898447036743164,22.0,22.2,0.0,0.0,0.0020758981589391466,0,0,0,0,0.0,0.0,True
L,0.09080767631530762,22.1,22.2,0.0,0.0,0.002074098763301102,0,0,0,0,0.0,0.0,True
L,0.09112286567687988,22.2,22.2,0.0,0.0,0.0020629194985979054,0,0,0,0,0.0,0.0,True
L,0.09098625183105469,22.0,22.2,0.0,0.0,0.0020685587658100264,0,0,0,0,0.0,0.0,True
L,0.09115147590637207,22.0,22.2,0.0,0.0,0.002071597036273137,0,0,0,0,0.0,0.0,True
L,0.09081244468688965,21.9,22.2,0.0,0.0,0.002077306969845318,0,0,0,0,0.0,0.0,True
L,0.09156489372253418,21.9,22.2,0.0,0.0,0.0020688700539819044,0,0,0,0,0.0,0.0,True
L,0.08794951438903809,21.9,22.2,0.0,0.0,0.0020865301696636283,0,0,0,0,0.0,0.0,True
L,0.08818840980529785,22.2,22.2,0.0,0.0,0.0020719793442513126,0,0,0,0,0.0,0.0,True
L,0.0909733772277832,21.9,22.2,0.0,0.0,0.0020663741828068735,0,0,0,0,0.0,0.0,True
L,0.0911107063293457,22.1,22.2,0.0,0.0,0.0020727554455327304,0,0,0,0,0.0,0.0,True
L,0.09119176864624023,22.1,22.2,0.0,0.0,0.002069294660417739,0,0,0,0,0.0,0.0,True
L,0.09102964401245117,22.0,22.2,0.0,0.0,0.0020782633953746665,0,0,0,0,0.0,0.0,True
L,0.09082555770874023,22.1,22.2,0.0,0.0,0.0020571065620513477,0,0,0,0,0.0,0.0,True
L,0.0922706127166748,21.9,22.2,0.0,0.0,0.00209276330255639,0,0,0,0,0.0,0.0,True
L,0.08938741683959961,22.1,22.2,0.0,0.0,0.0020697807213739703,0,0,0,0,0.0,0.0,True
L,0.09071874618530273,21.6,22.2,0.0,0.0,0.002067263637191377,0,0,0,0,0.0,0.0,True
L,0.09777450561523438,22.1,22.2,0.0,0.0,0.002073613223273405,0,0,0,0,0.0,0.0,True
L,0.08918261528015137,22.3,22.2,0.0,0.0,0.0020644713030298534,0,0,0,0,0.0,0.0,True
L,0.08834385871887207,21.9,22.2,0.0,0.0,0.0020674928165415963,0,0,0,0,0.0,0.0,True
L,0.08860635757446289,21.7,22.2,0.0,0.0,0.0020663713200962186,0,0,0,0,0.0,0.0,True
L,0.08864665031433105,22.1,22.2,0.0,0.0,0.002081537689680565,0,0,0,0,0.0,0.0,True
